dataset_name,label,description,conceptual_dataset_name,period_name,analysis_unit_name
ZA6701_person_v2-1-0,Person-year survey dataset,"includes survey data in person-year format, i.e., each person-year is contained in one data row",gross/net/gen,long,person
ZA6701_zygosity_v2-1-0,Zygosity dataset,"includes data of the zygosity questionnaire on which the zygosity assessment for the twin pairs is based",net/gen,wave 1 F2F,person/family
ZA6701_person_add_scales_v2-1-0.dta,Generated scales and residuals,"includes generated variables and residuals on several scales, e.g. means or sumscores of item blocks",gen,long,person
